OFFICIAL_GENE_NAME	OFFICIAL_TF_CODING_GENE_NAME	REGULATION	REF	SPECIES	REF ACCESSION #
AGRP	FOXO1	UP	Pubmed	human, Homo sapiens; mus musculus	;16783365;
AGT	NR2F1	DOWN	trrd	hUman, Homo sapiens;	S6269;
AHR	SMAD2	UP	Pubmed	human, Homo sapiens;	;11259615;
AHR	SMAD3	UP	Pubmed	human, Homo sapiens;	;11259615;
AHR	SMAD4	UP	Pubmed	human, Homo sapiens;	;11259615;
AHR	STAT3	UP	Pubmed	mouse, Mus musculus;	;16293640
AHSP	RBPJ	UP	Pubmed	mus musculus;	;15979417
AIFM2	TP53	UP	Pubmed	human, Homo sapiens;	;12135761
AIM1	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;12782598
AIM1	MYC	UP	Pubmed	rat, Rattus norvegicus	;11085504
AIMP2	MYC	UP	Pubmed	human, Homo sapiens;	;11085504
AKAP13	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;12782598
AKAP4	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
AKAP8L	CREB1	UP	Pubmed	mouse, Mus musculus;	;14973073
AKP3	CREB1	UP	trrd;	rat, Rattus norvegicus	S9605;
AKR1B1	NFKB1	UP	Pubmed	rat, Rattus norvegicus	;14576180;
AKR1B1	NFKB2	UP	Pubmed	rat, Rattus norvegicus	;14576180;
AKR1B1	RELA	UP	Pubmed	rat, Rattus norvegicus	;14576180;
AKR1B7	NR5A1	UP	NfiRegulomeDB	mouse, Mus musculus;	;
AKR1C4	HNF1A	UP	Pubmed	;homo sapiens	;11284743; 12220531
AKR1C4	HNF4A	UP	Pubmed	;homo sapiens	;11284743; 12220531
AKR1C4	HNF4G	UP	Pubmed	;homo sapiens	;11284743; 12220531
AKT1	CTNNB1	UP	Pubmed	human, Homo sapiens;	;15888491
AKT1	TCF7L2	UP	Pubmed	human, Homo sapiens;	;15888491
ALAS2	GATA1	UP	trrd	human, Homo sapiens; mus musculus	S3086; 5343
ALB	CEBPA	UP	Pubmed	human, Homo sapiens;homo sapiens	8288579;
ALB	EP300	UP	Pubmed	;homo sapiens	;15598887
ALB	HNF1A	UP	Pubmed	;homo sapiens	;8288579
ALB	PAG1	UP	Pubmed	;homo sapiens	;15598887
ALCAM	GLI1	DOWN	Pubmed	human, Homo sapiens; rattus norvegicus	;18924150
ALDH1A1	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;12782598
ALDH3A1	SP1	UP	Pubmed	mouse, Mus musculus;	;10591537
ALDH3A2	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;12782598
ALDH9A1	MYC	DOWN	Pubmed	human, Homo sapiens;	;12747840;
ALDOA	HIF1A	UP	Pubmed	human, Homo sapiens	;8089148;
ALDOA	JUN	UP	trrd;	rat, Rattus norvegicus	S4522;
ALDOA	SP1	UP	trrd;	human, Homo sapiens;	S5269;
ALDOC	SP1	UP	trrd;	rat, Rattus norvegicus;	S8172;
ALOX12	NFKB1	DOWN	pazar	human, Homo sapiens	;
ALOX12	REL	DOWN	pazar	human, Homo sapiens	;
ALOX12	SP1	UP	trrd;	hUman, Homo sapiens;	S6230;
ALPI	GATA4	UP	Pubmed	human, Homo sapiens	;17290010
ALPI	SMAD2	UP	Pubmed	;homo sapiens	;17290010
ALPI	SMAD3	UP	Pubmed	;homo sapiens	;17290010
ALPI	SMAD4	UP	Pubmed	;homo sapiens	;17290010
ALPP	FOXO1	UP	Pubmed	human, Homo sapiens; mus musculus	;11786925;
AMELX	CEBPA	UP	Pubmed	mouse, Mus musculus;mus musculus	10766866; 16595692; 16674681; 10859305;
AMELX	MSX2	DOWN	Pubmed	;mus musculus	;10859305
AMELX	NFYA	UP	Pubmed	;mus musculus	;16595692
AMELX	YY1	DOWN	Pubmed	;mus musculus	;16674681
AMH	GATA4	UP	pazar	human, Homo sapiens	pazar_pleiades_20100814;
AMH	GLI1	DOWN	Pubmed	mouse, Mus musculus;	;12444557
AMH	NR5A1	UP	Pubmed	human, Homo sapiens; mus musculus; rattus norvegicus	S7501; S3702; 10677509
AMHR2	CTNNB1	UP	Pubmed	mouse, Mus musculus; Homo sapiens	;12724325
AMHR2	NR5A1	UP	Pubmed	human, Homo sapiens; mus musculus	;12724325
AMHR2	TCF7L2	UP	Pubmed	mouse, Mus musculus; Homo sapiens	;12724325
ANGPT2	E2F1	UP	Pubmed	;homo sapiens	;20516113
ANGPT2	FOXO1	UP	Pubmed	mouse, Mus musculus;	;16100571;
ANGPT2	FOXO3	UP	Pubmed	mouse, Mus musculus;	;16100571;
ANGPT4	GLI1	UP	Pubmed	mus musculus;	;19095649
ANGPTL2	CREB1	DOWN	Pubmed	mouse, Mus musculus;	;14973073
ANKRD1	SMAD2	UP	Pubmed	human, Homo sapiens;	;11139470;
ANKRD1	SMAD3	UP	Pubmed	human, Homo sapiens;	;11139470;
ANKRD1	SMAD4	UP	Pubmed	human, Homo sapiens;	;11139470;
ANKRD1	SMAD6	DOWN	Pubmed	hUman, Homo sapiens;	;11139470;
ANP32A	STAT5A	UP	Pubmed	mouse, Mus musculus;	;16293640
ANP32A	STAT5B	UP	Pubmed	mouse, Mus musculus;	;16293640
ANPEP	ETS1	UP	trrd;	human, Homo sapiens	S3249;
ANPEP	ETS2	UP	trrd;	human, Homo sapiens	S3249;
ANXA8	FOXO4	UP	Pubmed	human, Homo sapiens; mus musculus	;19376120
AP2	JUN	UP	trrd;	mouse, Mus musculus;	S195;
APAF1	E2F1	UP	Pubmed	human, Homo sapiens;homo sapiens; mus musculus	;12149244; 18951482
APAF1	E2F6	DOWN	Pubmed	;homo sapiens	;17600109
APAF1	TP53	UP	Pubmed	human, Homo sapiens;? ; mus musculus	;11389439; 18951482
APCDD1	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;12384519
APCDD1	TCF7L2	UP	Pubmed	hUman, Homo sapiens;	;12384519
APCS	TP53	UP	Pubmed	human, Homo sapiens;	;15378026
APEX1	MITF	UP	Pubmed	human, Homo sapiens	;1999537;
APEX1	MYC	UP	Pubmed	human, Homo sapiens; rattus norvegicus	;14519204;11085504;11983916;14519204;11085504
APH1A	HIF1A	UP	Pubmed	human, Homo sapiens	;16645044
APH1A	YY1	UP	Pubmed	;homo sapiens	;21443683
APOA1	EGR1	UP	Pubmed	human, Homo sapiens;	;7896852
APOA1	NR2F6	DOWN	trrd	hUman, Homo sapiens;	S5742;
APOA2	NR2F1	DOWN	trrd	human, Homo sapiens;	S2774;
APOA4	NR2F1	DOWN	trrd	human, Homo sapiens;	S5954;
APOB	CEBPA	UP	Pubmed	human, Homo sapiens;homo sapiens	9921275; 8344962;
APOB	HNF4A	UP	Pubmed	;homo sapiens	;9921275; 8344962
APOC2	NR2F6	DOWN	trrd	hUman, Homo sapiens;	S7078;
APOC3	NFKB1	UP	pazar	human, Homo sapiens	;
APOC3	NR2F1	DOWN	trrd	human, Homo sapiens;	S1303;
APOC3	SMAD3	UP	Pubmed	human, Homo sapiens;	;10995777;
APOC3	SMAD4	UP	Pubmed	human, Homo sapiens;	;10995777;
APOD	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;12782598
APOE	NR1H2	UP	Pubmed	human, Homo sapiens	;19258656
APOE	NR1H3	UP	Pubmed	human, Homo sapiens	;19258656
APOE	SP1	UP	trrd;	hUman, Homo sapiens;	S1174;
APOH	HNF1A	UP	Pubmed	;homo sapiens	;14984368
APP	CTNNB1	DOWN	Pubmed	hUman, Homo sapiens;	;15979100
APP	LEF1	DOWN	Pubmed	hUman, Homo sapiens;	;15979100
AR	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;16474850
AR	E2F1	DOWN	Pubmed	;homo sapiens	;17178887
AR	LEF1	UP	Pubmed	hUman, Homo sapiens;	;16474850
ARHGAP26	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;15592430
ARL4A	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;12782598
ARPC3	CREB1	DOWN	Pubmed	mouse, Mus musculus;	;14973073
ARTN	GLI1	UP	Pubmed	mus musculus;	;19095649
ASCL1	NOTCH1	DOWN	Pubmed	mouse, Mus musculus; homo sapiens	;9102301;9133387;11306509
ASCL1	NOTCH2	DOWN	Pubmed	mouse, Mus musculus; homo sapiens	;9102301;9133387;11306509
ASCL1	RBPJ	DOWN	Pubmed	mouse, Mus musculus; homo sapiens	;9102301;9133387;11306509
ASF1B	E2F1	UP	Pubmed	;homo sapiens	;17328667
ASF1B	E2F2	UP	Pubmed	;homo sapiens	;17328667
ASF1B	E2F3	UP	Pubmed	;homo sapiens	;17328667
ASF1B	E2F4	UP	Pubmed	;homo sapiens	;17328667
ASF1B	E2F5	UP	Pubmed	;homo sapiens	;17328667
ASNS	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;16132617
ASPM	FOXO1	DOWN	Pubmed	mouse, Mus musculus;	;19896444;
ASPM	FOXO3	DOWN	Pubmed	mouse, Mus musculus;	;19896444;
ATF5	CREB1	UP	Pubmed	mouse, Mus musculus;	;14973073
ATG10	E2F1	UP	Pubmed	;homo sapiens	;19657746
ATG12	E2F1	UP	Pubmed	;homo sapiens	;19657746
ATG12	GLI1	DOWN	Pubmed	mus musculus;	;19095649
ATG4A	E2F1	UP	Pubmed	;homo sapiens	;19657746
ATG4B	E2F1	UP	Pubmed	;homo sapiens	;19657746
ATG4D	E2F1	UP	Pubmed	;homo sapiens	;19657746
ATG7	E2F1	UP	Pubmed	;homo sapiens	;19657746
ATG9A	E2F1	UP	Pubmed	;homo sapiens	;19657746
ATM	E2F1	UP	Pubmed	;homo sapiens	;12527885
ATM	RBPJ	UP	Pubmed	mus musculus;	;15979417
ATP10B	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
ATP1A1	SP1	UP	trrd;	rAt, Rattus norvegicus	S46;
ATP1A3	SP1	UP	trrd;	hUman, Homo sapiens; Rr	S2651;
ATP1A3	SP3	UP	trrd	rAt, Rattus norvegicus	S2651;
ATP5B	GABPA	UP	pazar;	human, Homo sapiens	;
ATP5H	RBPJ	DOWN	Pubmed	mus musculus;	;15979417
ATP6V0B	CREB1	UP	Pubmed	mouse, Mus musculus;	;14973073
ATP6V1C1	CREB1	UP	Pubmed	mouse, Mus musculus;	;14973073
ATP8A1	FOXO1	UP	Pubmed	human, Homo sapiens	;12351634;
ATP8A1	FOXO3	UP	Pubmed	human, Homo sapiens	;12351634;
ATP9A	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
AURKA	E2F3	UP	Pubmed	;homo sapiens	;18776222
AURKA	GABPA	UP	pazar;	human, Homo sapiens	;
AXIN2	CTNNB1	UP	Pubmed	human, Homo sapiens; mus musculus	;11809809;11940574; 11809808;  12711682; 15473860
AXIN2	E2F1	UP	Pubmed	;homo sapiens	;15766563
AXIN2	TCF7L2	UP	Pubmed	human, Homo sapiens; mus musculus	;11809809;11940574; 11809808;  12711682; 15473860
B2M	NFKB1	UP	Pubmed	human, Homo sapiens	;12480693;
B2M	RELA	UP	Pubmed	human, Homo sapiens	;12480693;
B4GALT1	E2F1	UP	Pubmed	human, Homo sapiens	;20538716
B4GALT3	FOXO1	DOWN	Pubmed	human, Homo sapiens	;18301748
BACE1	GATA1	UP	Pubmed	rat, Rattus norvegicus	;12815710
BACH1	SP1	UP	:Pazar;TRRD;	mouse, Mus musculus;	S9832; pazar_ABS;;
BAG2	CTNNB1	DOWN	Pubmed	human, Homo sapiens;	;16959035
BAG3	CTNNB1	DOWN	Pubmed	human, Homo sapiens;	;16959035
BAK1	TP53	UP	Pubmed	human, Homo sapiens;	;10741712
BAMBI	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	";14660579;12782598
"
BAMBI	SMAD3	UP	Pubmed	human, Homo sapiens;	;15240101;
BAMBI	SMAD4	UP	Pubmed	human, Homo sapiens;	;15240101;
BAMBI	TCF7L2	UP	Pubmed	hUman, Homo sapiens;	";14660579;12782598
"
BARD1	BRCA1	DOWN	Pubmed	;homo sapiens	20068145;
BAX	FOXO1	UP	Pubmed	mouse, Mus musculus; rattus norvegicus	;15632117;15817464;
BAX	TP53	UP	pazar	mouse, Mus musculus;	pazar_ABS; pazar_peiades;
BBC3	E2F1	UP	Pubmed	;homo sapiens	;17263886
BBC3	FOXO3	UP	Pubmed	mouse, Mus musculus;	;16801400;
BBC3	TP53	UP	Pubmed	human, Homo sapiens;homo sapiens; mus musculus	;11463391
BCL2	CEBPA	UP	Pubmed	human, Homo sapiens;mus musculus	18987666;
BCL2	CTNNB1	UP	Pubmed	human, Homo sapiens; rattus norvegicus	;17404573;12782598;16288908
BCL2	E2F1	UP	Pubmed	;rattus norvegicus	;17404573
BCL2	FOXO1	DOWN	Pubmed	mouse, Mus musculus;	;15632117;
BCL2	GLI1	UP	Pubmed	mouse, Mus musculus; homo sapiens	;14555646
BCL2	LEF1	UP	Pubmed	human, Homo sapiens; rattus norvegicus	;17404573;12782598;16288908
BCL2	MITF	UP	Pubmed	human, Homo sapiens	;1999537;19067971
BCL2	MYC	UP	Pubmed	human, Homo sapiens;rattus norvegicus	;17404573
BCL2	NFKB1	UP	Pubmed	human, Homo sapiens	;12835724
BCL2	NOTCH1	UP	Pubmed	mouse, Mus musculus;	;9881968
BCL2	RBPJ	UP	Pubmed	mouse, Mus musculus;	;9881968
BCL2	RELA	UP	Pubmed	human, Homo sapiens	;12835724
BCL2	SP1	UP	trrd;	human, Homo sapiens;	S9952;
BCL2	STAT3	UP	Pubmed	hUman, Homo sapiens;	;16048438;
BCL2	TCF7	UP	Pubmed	human, Homo sapiens; rattus norvegicus	;17404573;12782598;16288908
BCL2	TCF7L2	UP	Pubmed	;rattus norvegicus	;17404573
BCL2	TP53	DOWN	pazar	human, Homo sapiens;	pazar_ABS;pazar_pleiades;
BCL2A1	FOXO1	UP	Pubmed	mouse, Mus musculus;	;15632117;
BCL2A1	JUN	UP	trrd;	human, Homo sapiens;	S10635;
BCL2A1	NFKB1	UP	pazar	human, Homo sapiens	;
BCL2L1	BCL6	DOWN	Pubmed	mouse, Mus musculus;	11777915;
BCL2L1	CTNNB1	UP	Pubmed	mouse, Mus musculus;	;16339534
BCL2L1	NFKB2	UP	pazar	mouse, Mus musculus;	pazar_ABS;
BCL2L1	RELA	UP	pazar	mouse, Mus musculus;	pazar_ABS;
BCL2L1	STAT3	UP	Pubmed	hUman, Homo sapiens;	;15469392
BCL2L1	STAT5A	UP	Pubmed	;mus musculus; homo sapiens	;11756417
BCL2L1	STAT5B	UP	Pubmed	;mus musculus; homo sapiens	;11756417
BCL2L1	TCF7	UP	Pubmed	mouse, Mus musculus;	;16339534
BCL2L11	FOXO1	UP	Pubmed	mouse, Mus musculus;	;16006742;17702754;
BCL2L11	FOXO3	UP	Pubmed	human, Homo sapiens	;15674333
BCL2L13	FOXO1	UP	Pubmed	mouse, Mus musculus;	;15632117;
BCL2L2	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;19124064
BCL2L2	FOXO1	DOWN	Pubmed	mouse, Mus musculus;	;15632117;
BCL2L2	TCF7L2	UP	Pubmed	hUman, Homo sapiens;	;19124064
BCL3	STAT3	UP	Pubmed	mouse, Mus musculus;	;16293640
BCL3	TP53	DOWN	Pubmed	human, Homo sapiens;	;12808109
BCL6	FOXO4	UP	Pubmed	mouse, Mus musculus;	;11777915
BCL6	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
BCL6	STAT1	UP	Pubmed	mouse, Mus musculus; Homo sapiens	;15596057
BCL6	STAT5A	UP	Pubmed	hUman, Homo sapiens;	;15711548;
BCL6	STAT5B	UP	Pubmed	hUman, Homo sapiens;	;15711548;
BDKRB1	JUN	UP	trrd;	human, Homo sapiens;	S7847;
BDKRB1	NFKB1	UP	pazar	human, Homo sapiens	;
BEST1	MITF	UP	Pubmed	human, Homo sapiens	;1999537;19067971
BGLAP	RUNX2	UP	Pubmed	;homo sapiens	;17707335
BGLAP	SMAD3	UP	Pubmed	;homo sapiens	;11278818
BGLAP	SMAD4	UP	Pubmed	;homo sapiens	;11278818
BGLAP	VDR	UP	Pubmed	;homo sapiens	;11278818
BGLAP2	RUNX2	UP	Pubmed	;mus musculus	;20578243
BGLAP2	TRPS1	DOWN	Pubmed	;mus musculus; homo sapiens	;19759027
BHLHE40	NR1H2	UP	Pubmed	human, Homo sapiens; mus musculus	;19032342
BHLHE40	NR1H3	UP	Pubmed	human, Homo sapiens; mus musculus	;19032342
BID	FOXO1	UP	Pubmed	mouse, Mus musculus;	;15632117;
BIK	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;15592430
BIN1	E2F1	UP	Pubmed	;homo sapiens	;19629135
BIRC3	FOXO1	DOWN	Pubmed	mouse, Mus musculus;	;15632117;
BIRC3	STAT3	UP	Pubmed	hUman, Homo sapiens;	;16048438;
BIRC5	CTNNB1	UP	Pubmed	mouse, Mus musculus; rattus norvegicus; human	;11517919;16288908;17005722; 11517919
BIRC5	E2F1	UP	Pubmed	;mus musculus	;15271987
BIRC5	E2F2	UP	Pubmed	;mus musculus	;15271987
BIRC5	E2F3	UP	Pubmed	;mus musculus	;15271987
BIRC5	FOXO1	DOWN	Pubmed	mouse, Mus musculus;	;15632117;
BIRC5	LEF1	UP	Pubmed	mouse, Mus musculus; rattus norvegicus; human	;11517919;16288908;17005722; 11517919
BIRC5	STAT3	UP	Pubmed	;homo sapiens	;17533050;17533050
BIRC5	TCF7	UP	Pubmed	mouse, Mus musculus; rattus norvegicus; human	;11517919;16288908;17005722; 11517919
BIRC5	TP53	DOWN	pazar	human, Homo sapiens;	pazar_ABS;pazar_pleiades;
BIRC7	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;17660948
BIRC7	MITF	UP	Pubmed	human, Homo sapiens	;1999537;19067971
BIRC7	TCF7L2	UP	Pubmed	hUman, Homo sapiens;	;17660948
BLK	NFKB1	UP	pazar	mouse, Mus musculus;	pazar_ABS;
BLVRA	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
BMI1	E2F1	UP	Pubmed	;homo sapiens	;16582100
BMP1	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
BMP2	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;15579438
BMP2	SP1	UP	pazar; trrd	mouse, Mus musculus;	Pazar_ares; S10035; 
BMP4	CTNNB1	DOWN	Pubmed	hUman, Homo sapiens; mus musculus	;12782598;15907834;10601040
BMP4	FOXO1	UP	Pubmed	mouse, Mus musculus;	;16100571;
BMP4	FOXO3	UP	Pubmed	mouse, Mus musculus;	;16100571;
BMP7	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
BMPER	FOXO1	DOWN	Pubmed	mouse, Mus musculus;	;17254969
BNIP3	E2F1	UP	Pubmed	;homo sapiens	;19088195
BNIP3	HIF1A	UP	Pubmed	human, Homo sapiens	;11559532;
BNIP3	RBPJ	UP	Pubmed	mus musculus;	;15979417
BNIP3	RELA	DOWN	Pubmed	;homo sapiens	;19088195
BNIP3L	FOXO3	UP	Pubmed	human, Homo sapiens	;12351634;
BOK	CTNNB1	DOWN	Pubmed	mouse, Mus musculus;	;12907606
BOK	TCF7L2	DOWN	Pubmed	mouse, Mus musculus;	;12907606
BRCA1	BRCA1	DOWN	Pubmed	;homo sapiens	20068145;
BRCA1	E2F1	UP	Pubmed	mouse, Mus musculus;mus musculus; homo sapiens	;10660629; 17106239; 18660752
BRCA1	E2F4	DOWN	Pubmed	;homo sapiens	;17106239
BRCA1	E2F6	DOWN	Pubmed	;homo sapiens	;12909625
BRCA1	MYC	UP	Pubmed	human, Homo sapiens	;11983916;
BRCA1	RBL1	DOWN	Pubmed	;homo sapiens	;17106239
BRCA1	RBL2	DOWN	Pubmed	;homo sapiens	;17106239
BRCA1	TP53	DOWN	pazar	hUman, Homo sapiens;	pazar_ABS;pazar_pleiades;
BRD2	GLI2	UP	Pubmed	human, Homo sapiens	;14691458
BRD2	MYC	DOWN	Pubmed	rat, Rattus norvegicus	;11085504
BSG	SP1	UP	trrd;	human, Homo sapiens;	S9313;
BTG1	FOXO3	UP	Pubmed	mouse, Mus musculus;	;14734530
BTG2	GATA1	UP	pazar	mouse, Mus musculus;	;
BTRC	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;15473860;10882123
C10ORF10	FOXO1	UP	Pubmed	mouse, Mus musculus;	;16100571;
C10ORF10	FOXO3	UP	Pubmed	human, Homo sapiens	;16100571;12351634;
C12ORF5	TP53	UP	pazar	human, Homo sapiens;	pazar_ABS;
C1QBP	MYC	UP	Pubmed	human, Homo sapiens	;11983916;
